Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-4.0,-14.0,-1.0,-17.5,-3.5,-2.0,-22.0,1.0
LG,4.0,0.0,-10.0,3.0,-13.5,0.5,2.0,-18.0,5.0
NC,14.0,10.0,0.0,13.0,-3.5,10.5,12.0,-8.0,15.0
SK,1.0,-3.0,-13.0,0.0,-16.5,-2.5,-1.0,-21.0,2.0
넥센,17.5,13.5,3.5,16.5,0.0,14.0,15.5,-4.5,18.5
두산,3.5,-0.5,-10.5,2.5,-14.0,0.0,1.5,-18.5,4.5
롯데,2.0,-2.0,-12.0,1.0,-15.5,-1.5,0.0,-20.0,3.0
삼성,22.0,18.0,8.0,21.0,4.5,18.5,20.0,0.0,23.0
한화,-1.0,-5.0,-15.0,-2.0,-18.5,-4.5,-3.0,-23.0,0.0
