Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,16.0,8.0,-2.5,0.0,5.0,3.0
OB,-16.0,0.0,-8.0,-18.5,-16.0,-11.0,-13.0
롯데,-8.0,8.0,0.0,-10.5,-8.0,-3.0,-5.0
빙그레,2.5,18.5,10.5,0.0,2.5,7.5,5.5
삼성,0.0,16.0,8.0,-2.5,0.0,5.0,3.0
태평양,-5.0,11.0,3.0,-7.5,-5.0,0.0,-2.0
해태,-3.0,13.0,5.0,-5.5,-3.0,2.0,0.0
