Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,31.0,25.0,1.0,3.0,12.5,1.5
OB,-31.0,0.0,-6.0,-30.0,-28.0,-18.5,-29.5
롯데,-25.0,6.0,0.0,-24.0,-22.0,-12.5,-23.5
빙그레,-1.0,30.0,24.0,0.0,2.0,11.5,0.5
삼성,-3.0,28.0,22.0,-2.0,0.0,9.5,-1.5
태평양,-12.5,18.5,12.5,-11.5,-9.5,0.0,-11.0
해태,-1.5,29.5,23.5,-0.5,1.5,11.0,0.0
