Team1_x,LG,OB,롯데,삼성,쌍방울,한화,해태,현대
LG,0.0,2.0,4.0,-7.0,-0.5,-2.0,2.5,-14.5
OB,-2.0,0.0,2.0,-9.0,-2.5,-4.0,0.5,-16.5
롯데,-4.0,-2.0,0.0,-11.0,-4.5,-6.0,-1.5,-18.5
삼성,7.0,9.0,11.0,0.0,6.5,5.0,9.5,-7.5
쌍방울,0.5,2.5,4.5,-6.5,0.0,-1.5,3.0,-14.0
한화,2.0,4.0,6.0,-5.0,1.5,0.0,4.5,-12.5
해태,-2.5,-0.5,1.5,-9.5,-3.0,-4.5,0.0,-17.0
현대,14.5,16.5,18.5,7.5,14.0,12.5,17.0,0.0
