Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,-3.0,-13.0,-7.0,-7.0,-7.0,-6.0,-5.0
LG,3.0,0.0,-10.0,-4.0,-4.0,-4.0,-3.0,-2.0
SK,13.0,10.0,0.0,6.0,6.0,6.0,7.0,8.0
두산,7.0,4.0,-6.0,0.0,0.0,0.0,1.0,2.0
롯데,7.0,4.0,-6.0,0.0,0.0,0.0,1.0,2.0
삼성,7.0,4.0,-6.0,0.0,0.0,0.0,1.0,2.0
한화,6.0,3.0,-7.0,-1.0,-1.0,-1.0,0.0,1.0
히어로즈,5.0,2.0,-8.0,-2.0,-2.0,-2.0,-1.0,0.0
