Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,0.5,-15.0,3.5,-6.5,-1.0,-2.5,7.0
LG,-0.5,0.0,-15.5,3.0,-7.0,-1.5,-3.0,6.5
SK,15.0,15.5,0.0,18.5,8.5,14.0,12.5,22.0
넥센,-3.5,-3.0,-18.5,0.0,-10.0,-4.5,-6.0,3.5
두산,6.5,7.0,-8.5,10.0,0.0,5.5,4.0,13.5
롯데,1.0,1.5,-14.0,4.5,-5.5,0.0,-1.5,8.0
삼성,2.5,3.0,-12.5,6.0,-4.0,1.5,0.0,9.5
한화,-7.0,-6.5,-22.0,-3.5,-13.5,-8.0,-9.5,0.0
