Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,3.0,-16.0,-2.0,13.0,-11.5,-11.0,-0.5,-21.0,0.0
LG,-3.0,0.0,-19.0,-5.0,10.0,-14.5,-14.0,-3.5,-24.0,-3.0
NC,16.0,19.0,0.0,14.0,29.0,4.5,5.0,15.5,-5.0,16.0
SK,2.0,5.0,-14.0,0.0,15.0,-9.5,-9.0,1.5,-19.0,2.0
kt,-13.0,-10.0,-29.0,-15.0,0.0,-24.5,-24.0,-13.5,-34.0,-13.0
넥센,11.5,14.5,-4.5,9.5,24.5,0.0,0.5,11.0,-9.5,11.5
두산,11.0,14.0,-5.0,9.0,24.0,-0.5,0.0,10.5,-10.0,11.0
롯데,0.5,3.5,-15.5,-1.5,13.5,-11.0,-10.5,0.0,-20.5,0.5
삼성,21.0,24.0,5.0,19.0,34.0,9.5,10.0,20.5,0.0,21.0
한화,0.0,3.0,-16.0,-2.0,13.0,-11.5,-11.0,-0.5,-21.0,0.0
