Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,30.5,23.5,1.0,2.0,10.5,-0.5
OB,-30.5,0.0,-7.0,-29.5,-28.5,-20.0,-31.0
롯데,-23.5,7.0,0.0,-22.5,-21.5,-13.0,-24.0
빙그레,-1.0,29.5,22.5,0.0,1.0,9.5,-1.5
삼성,-2.0,28.5,21.5,-1.0,0.0,8.5,-2.5
태평양,-10.5,20.0,13.0,-9.5,-8.5,0.0,-11.0
해태,0.5,31.0,24.0,1.5,2.5,11.0,0.0
