Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.0,-13.0,2.0,15.0,-10.5,-8.0,-0.5,-17.0,1.0
LG,-5.0,0.0,-18.0,-3.0,10.0,-15.5,-13.0,-5.5,-22.0,-4.0
NC,13.0,18.0,0.0,15.0,28.0,2.5,5.0,12.5,-4.0,14.0
SK,-2.0,3.0,-15.0,0.0,13.0,-12.5,-10.0,-2.5,-19.0,-1.0
kt,-15.0,-10.0,-28.0,-13.0,0.0,-25.5,-23.0,-15.5,-32.0,-14.0
넥센,10.5,15.5,-2.5,12.5,25.5,0.0,2.5,10.0,-6.5,11.5
두산,8.0,13.0,-5.0,10.0,23.0,-2.5,0.0,7.5,-9.0,9.0
롯데,0.5,5.5,-12.5,2.5,15.5,-10.0,-7.5,0.0,-16.5,1.5
삼성,17.0,22.0,4.0,19.0,32.0,6.5,9.0,16.5,0.0,18.0
한화,-1.0,4.0,-14.0,1.0,14.0,-11.5,-9.0,-1.5,-18.0,0.0
