Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,히어로즈
KIA,0.0,7.0,-19.0,-10.0,-6.0,-2.0,-6.0,4.0
LG,-7.0,0.0,-26.0,-17.0,-13.0,-9.0,-13.0,-3.0
SK,19.0,26.0,0.0,9.0,13.0,17.0,13.0,23.0
두산,10.0,17.0,-9.0,0.0,4.0,8.0,4.0,14.0
롯데,6.0,13.0,-13.0,-4.0,0.0,4.0,0.0,10.0
삼성,2.0,9.0,-17.0,-8.0,-4.0,0.0,-4.0,6.0
한화,6.0,13.0,-13.0,-4.0,0.0,4.0,0.0,10.0
히어로즈,-4.0,3.0,-23.0,-14.0,-10.0,-6.0,-10.0,0.0
