Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,17.5,-6.0,2.5,2.0,9.5,8.0,-8.0
SK,-17.5,0.0,-23.5,-15.0,-15.5,-8.0,-9.5,-25.5
두산,6.0,23.5,0.0,8.5,8.0,15.5,14.0,-2.0
롯데,-2.5,15.0,-8.5,0.0,-0.5,7.0,5.5,-10.5
삼성,-2.0,15.5,-8.0,0.5,0.0,7.5,6.0,-10.0
한화,-9.5,8.0,-15.5,-7.0,-7.5,0.0,-1.5,-17.5
해태,-8.0,9.5,-14.0,-5.5,-6.0,1.5,0.0,-16.0
현대,8.0,25.5,2.0,10.5,10.0,17.5,16.0,0.0
