Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-13.0,2.0,14.0,-9.5,-10.0,0.0,-16.0,0.0
LG,-5.5,0.0,-18.5,-3.5,8.5,-15.0,-15.5,-5.5,-21.5,-5.5
NC,13.0,18.5,0.0,15.0,27.0,3.5,3.0,13.0,-3.0,13.0
SK,-2.0,3.5,-15.0,0.0,12.0,-11.5,-12.0,-2.0,-18.0,-2.0
kt,-14.0,-8.5,-27.0,-12.0,0.0,-23.5,-24.0,-14.0,-30.0,-14.0
넥센,9.5,15.0,-3.5,11.5,23.5,0.0,-0.5,9.5,-6.5,9.5
두산,10.0,15.5,-3.0,12.0,24.0,0.5,0.0,10.0,-6.0,10.0
롯데,0.0,5.5,-13.0,2.0,14.0,-9.5,-10.0,0.0,-16.0,0.0
삼성,16.0,21.5,3.0,18.0,30.0,6.5,6.0,16.0,0.0,16.0
한화,0.0,5.5,-13.0,2.0,14.0,-9.5,-10.0,0.0,-16.0,0.0
