Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-1.0,-4.0,-2.0,-1.5,-6.5,-1.0,-1.0,4.0
LG,2.0,0.0,1.0,-2.0,0.0,0.5,-4.5,1.0,1.0,6.0
NC,1.0,-1.0,0.0,-3.0,-1.0,-0.5,-5.5,0.0,0.0,5.0
SK,4.0,2.0,3.0,0.0,2.0,2.5,-2.5,3.0,3.0,8.0
kt,2.0,0.0,1.0,-2.0,0.0,0.5,-4.5,1.0,1.0,6.0
넥센,1.5,-0.5,0.5,-2.5,-0.5,0.0,-5.0,0.5,0.5,5.5
두산,6.5,4.5,5.5,2.5,4.5,5.0,0.0,5.5,5.5,10.5
롯데,1.0,-1.0,0.0,-3.0,-1.0,-0.5,-5.5,0.0,0.0,5.0
삼성,1.0,-1.0,0.0,-3.0,-1.0,-0.5,-5.5,0.0,0.0,5.0
한화,-4.0,-6.0,-5.0,-8.0,-6.0,-5.5,-10.5,-5.0,-5.0,0.0
