Team1_x,KIA,LG,NC,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,3.5,-11.0,0.0,-6.5,-5.0,-3.5,-15.0,4.5
LG,-3.5,0.0,-14.5,-3.5,-10.0,-8.5,-7.0,-18.5,1.0
NC,11.0,14.5,0.0,11.0,4.5,6.0,7.5,-4.0,15.5
SK,0.0,3.5,-11.0,0.0,-6.5,-5.0,-3.5,-15.0,4.5
넥센,6.5,10.0,-4.5,6.5,0.0,1.5,3.0,-8.5,11.0
두산,5.0,8.5,-6.0,5.0,-1.5,0.0,1.5,-10.0,9.5
롯데,3.5,7.0,-7.5,3.5,-3.0,-1.5,0.0,-11.5,8.0
삼성,15.0,18.5,4.0,15.0,8.5,10.0,11.5,0.0,19.5
한화,-4.5,-1.0,-15.5,-4.5,-11.0,-9.5,-8.0,-19.5,0.0
