Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,-10.0,-20.0,-15.5,-6.0,-14.5,-14.5,-4.0
LG,10.0,0.0,-10.0,-5.5,4.0,-4.5,-4.5,6.0
SK,20.0,10.0,0.0,4.5,14.0,5.5,5.5,16.0
두산,15.5,5.5,-4.5,0.0,9.5,1.0,1.0,11.5
롯데,6.0,-4.0,-14.0,-9.5,0.0,-8.5,-8.5,2.0
삼성,14.5,4.5,-5.5,-1.0,8.5,0.0,0.0,10.5
한화,14.5,4.5,-5.5,-1.0,8.5,0.0,0.0,10.5
현대,4.0,-6.0,-16.0,-11.5,-2.0,-10.5,-10.5,0.0
