Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,-9.0,-20.0,-14.5,-7.0,-13.0,-11.5,-5.0
LG,9.0,0.0,-11.0,-5.5,2.0,-4.0,-2.5,4.0
SK,20.0,11.0,0.0,5.5,13.0,7.0,8.5,15.0
두산,14.5,5.5,-5.5,0.0,7.5,1.5,3.0,9.5
롯데,7.0,-2.0,-13.0,-7.5,0.0,-6.0,-4.5,2.0
삼성,13.0,4.0,-7.0,-1.5,6.0,0.0,1.5,8.0
한화,11.5,2.5,-8.5,-3.0,4.5,-1.5,0.0,6.5
현대,5.0,-4.0,-15.0,-9.5,-2.0,-8.0,-6.5,0.0
