Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-12.0,2.0,14.0,-8.5,-10.0,1.0,-16.0,0.0
LG,-5.5,0.0,-17.5,-3.5,8.5,-14.0,-15.5,-4.5,-21.5,-5.5
NC,12.0,17.5,0.0,14.0,26.0,3.5,2.0,13.0,-4.0,12.0
SK,-2.0,3.5,-14.0,0.0,12.0,-10.5,-12.0,-1.0,-18.0,-2.0
kt,-14.0,-8.5,-26.0,-12.0,0.0,-22.5,-24.0,-13.0,-30.0,-14.0
넥센,8.5,14.0,-3.5,10.5,22.5,0.0,-1.5,9.5,-7.5,8.5
두산,10.0,15.5,-2.0,12.0,24.0,1.5,0.0,11.0,-6.0,10.0
롯데,-1.0,4.5,-13.0,1.0,13.0,-9.5,-11.0,0.0,-17.0,-1.0
삼성,16.0,21.5,4.0,18.0,30.0,7.5,6.0,17.0,0.0,16.0
한화,0.0,5.5,-12.0,2.0,14.0,-8.5,-10.0,1.0,-16.0,0.0
