Team1_x,KIA,LG,SK,넥센,두산,롯데,삼성,한화
KIA,0.0,-3.5,-23.0,2.5,-12.5,-6.5,-13.5,4.0
LG,3.5,0.0,-19.5,6.0,-9.0,-3.0,-10.0,7.5
SK,23.0,19.5,0.0,25.5,10.5,16.5,9.5,27.0
넥센,-2.5,-6.0,-25.5,0.0,-15.0,-9.0,-16.0,1.5
두산,12.5,9.0,-10.5,15.0,0.0,6.0,-1.0,16.5
롯데,6.5,3.0,-16.5,9.0,-6.0,0.0,-7.0,10.5
삼성,13.5,10.0,-9.5,16.0,1.0,7.0,0.0,17.5
한화,-4.0,-7.5,-27.0,-1.5,-16.5,-10.5,-17.5,0.0
