Team1_x,LG,SK,두산,롯데,삼성,한화,해태,현대
LG,0.0,9.0,-6.0,5.0,-2.0,4.5,6.5,-9.0
SK,-9.0,0.0,-15.0,-4.0,-11.0,-4.5,-2.5,-18.0
두산,6.0,15.0,0.0,11.0,4.0,10.5,12.5,-3.0
롯데,-5.0,4.0,-11.0,0.0,-7.0,-0.5,1.5,-14.0
삼성,2.0,11.0,-4.0,7.0,0.0,6.5,8.5,-7.0
한화,-4.5,4.5,-10.5,0.5,-6.5,0.0,2.0,-13.5
해태,-6.5,2.5,-12.5,-1.5,-8.5,-2.0,0.0,-15.5
현대,9.0,18.0,3.0,14.0,7.0,13.5,15.5,0.0
