Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,2.0,7.0,6.5,-6.0,24.0,28.5,-13.0
OB,-2.0,0.0,5.0,4.5,-8.0,22.0,26.5,-15.0
롯데,-7.0,-5.0,0.0,-0.5,-13.0,17.0,21.5,-20.0
빙그레,-6.5,-4.5,0.5,0.0,-12.5,17.5,22.0,-19.5
삼성,6.0,8.0,13.0,12.5,0.0,30.0,34.5,-7.0
쌍방울,-24.0,-22.0,-17.0,-17.5,-30.0,0.0,4.5,-37.0
태평양,-28.5,-26.5,-21.5,-22.0,-34.5,-4.5,0.0,-41.5
해태,13.0,15.0,20.0,19.5,7.0,37.0,41.5,0.0
