Team1_x,LG,OB,롯데,빙그레,삼성,태평양,해태
LG,0.0,-0.5,-5.0,-6.0,-3.0,-5.0,-5.5
OB,0.5,0.0,-4.5,-5.5,-2.5,-4.5,-5.0
롯데,5.0,4.5,0.0,-1.0,2.0,0.0,-0.5
빙그레,6.0,5.5,1.0,0.0,3.0,1.0,0.5
삼성,3.0,2.5,-2.0,-3.0,0.0,-2.0,-2.5
태평양,5.0,4.5,0.0,-1.0,2.0,0.0,-0.5
해태,5.5,5.0,0.5,-0.5,2.5,0.5,0.0
