Team1_x,KIA,LG,SK,두산,롯데,삼성,한화,현대
KIA,0.0,0.5,-2.0,11.5,7.5,-5.5,3.5,-4.0
LG,-0.5,0.0,-2.5,11.0,7.0,-6.0,3.0,-4.5
SK,2.0,2.5,0.0,13.5,9.5,-3.5,5.5,-2.0
두산,-11.5,-11.0,-13.5,0.0,-4.0,-17.0,-8.0,-15.5
롯데,-7.5,-7.0,-9.5,4.0,0.0,-13.0,-4.0,-11.5
삼성,5.5,6.0,3.5,17.0,13.0,0.0,9.0,1.5
한화,-3.5,-3.0,-5.5,8.0,4.0,-9.0,0.0,-7.5
현대,4.0,4.5,2.0,15.5,11.5,-1.5,7.5,0.0
