Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,5.5,-8.0,-1.0,16.0,-6.5,-7.0,3.0,-12.0,-1.0
LG,-5.5,0.0,-13.5,-6.5,10.5,-12.0,-12.5,-2.5,-17.5,-6.5
NC,8.0,13.5,0.0,7.0,24.0,1.5,1.0,11.0,-4.0,7.0
SK,1.0,6.5,-7.0,0.0,17.0,-5.5,-6.0,4.0,-11.0,0.0
kt,-16.0,-10.5,-24.0,-17.0,0.0,-22.5,-23.0,-13.0,-28.0,-17.0
넥센,6.5,12.0,-1.5,5.5,22.5,0.0,-0.5,9.5,-5.5,5.5
두산,7.0,12.5,-1.0,6.0,23.0,0.5,0.0,10.0,-5.0,6.0
롯데,-3.0,2.5,-11.0,-4.0,13.0,-9.5,-10.0,0.0,-15.0,-4.0
삼성,12.0,17.5,4.0,11.0,28.0,5.5,5.0,15.0,0.0,11.0
한화,1.0,6.5,-7.0,0.0,17.0,-5.5,-6.0,4.0,-11.0,0.0
