Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-11.5,1.5,12.5,-9.0,-19.0,4.5,5.0,4.0
LG,-1.0,0.0,-12.5,0.5,11.5,-10.0,-20.0,3.5,4.0,3.0
NC,11.5,12.5,0.0,13.0,24.0,2.5,-7.5,16.0,16.5,15.5
SK,-1.5,-0.5,-13.0,0.0,11.0,-10.5,-20.5,3.0,3.5,2.5
kt,-12.5,-11.5,-24.0,-11.0,0.0,-21.5,-31.5,-8.0,-7.5,-8.5
넥센,9.0,10.0,-2.5,10.5,21.5,0.0,-10.0,13.5,14.0,13.0
두산,19.0,20.0,7.5,20.5,31.5,10.0,0.0,23.5,24.0,23.0
롯데,-4.5,-3.5,-16.0,-3.0,8.0,-13.5,-23.5,0.0,0.5,-0.5
삼성,-5.0,-4.0,-16.5,-3.5,7.5,-14.0,-24.0,-0.5,0.0,-1.0
한화,-4.0,-3.0,-15.5,-2.5,8.5,-13.0,-23.0,0.5,1.0,0.0
