Team1_x,LG,OB,롯데,빙그레,삼성,쌍방울,태평양,해태
LG,0.0,-5.0,-17.5,-24.5,-13.5,8.0,-3.0,-21.0
OB,5.0,0.0,-12.5,-19.5,-8.5,13.0,2.0,-16.0
롯데,17.5,12.5,0.0,-7.0,4.0,25.5,14.5,-3.5
빙그레,24.5,19.5,7.0,0.0,11.0,32.5,21.5,3.5
삼성,13.5,8.5,-4.0,-11.0,0.0,21.5,10.5,-7.5
쌍방울,-8.0,-13.0,-25.5,-32.5,-21.5,0.0,-11.0,-29.0
태평양,3.0,-2.0,-14.5,-21.5,-10.5,11.0,0.0,-18.0
해태,21.0,16.0,3.5,-3.5,7.5,29.0,18.0,0.0
