Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,-2.0,-3.5,-3.0,1.5,-1.5,-9.5,0.0,-1.0,7.5
LG,2.0,0.0,-1.5,-1.0,3.5,0.5,-7.5,2.0,1.0,9.5
NC,3.5,1.5,0.0,0.5,5.0,2.0,-6.0,3.5,2.5,11.0
SK,3.0,1.0,-0.5,0.0,4.5,1.5,-6.5,3.0,2.0,10.5
kt,-1.5,-3.5,-5.0,-4.5,0.0,-3.0,-11.0,-1.5,-2.5,6.0
넥센,1.5,-0.5,-2.0,-1.5,3.0,0.0,-8.0,1.5,0.5,9.0
두산,9.5,7.5,6.0,6.5,11.0,8.0,0.0,9.5,8.5,17.0
롯데,0.0,-2.0,-3.5,-3.0,1.5,-1.5,-9.5,0.0,-1.0,7.5
삼성,1.0,-1.0,-2.5,-2.0,2.5,-0.5,-8.5,1.0,0.0,8.5
한화,-7.5,-9.5,-11.0,-10.5,-6.0,-9.0,-17.0,-7.5,-8.5,0.0
