Team1_x,KIA,LG,NC,SK,kt,넥센,두산,롯데,삼성,한화
KIA,0.0,1.0,-11.5,0.5,12.5,-8.0,-20.0,5.5,5.0,3.0
LG,-1.0,0.0,-12.5,-0.5,11.5,-9.0,-21.0,4.5,4.0,2.0
NC,11.5,12.5,0.0,12.0,24.0,3.5,-8.5,17.0,16.5,14.5
SK,-0.5,0.5,-12.0,0.0,12.0,-8.5,-20.5,5.0,4.5,2.5
kt,-12.5,-11.5,-24.0,-12.0,0.0,-20.5,-32.5,-7.0,-7.5,-9.5
넥센,8.0,9.0,-3.5,8.5,20.5,0.0,-12.0,13.5,13.0,11.0
두산,20.0,21.0,8.5,20.5,32.5,12.0,0.0,25.5,25.0,23.0
롯데,-5.5,-4.5,-17.0,-5.0,7.0,-13.5,-25.5,0.0,-0.5,-2.5
삼성,-5.0,-4.0,-16.5,-4.5,7.5,-13.0,-25.0,0.5,0.0,-2.0
한화,-3.0,-2.0,-14.5,-2.5,9.5,-11.0,-23.0,2.5,2.0,0.0
