,Year,Team1,Game_idx,dummy_draw,dummy_lose,dummy_win,cum_win,cum_draw,cum_lose,Wpct
88,1989,MBC,89,0,1,0,32,4,53,0.3764705882352941
89,1989,MBC,90,0,1,0,32,4,54,0.37209302325581395
90,1989,MBC,91,0,1,0,32,4,55,0.367816091954023
91,1989,MBC,92,0,0,1,33,4,55,0.375
92,1989,MBC,93,0,1,0,33,4,56,0.3707865168539326
93,1989,MBC,94,0,1,0,33,4,57,0.36666666666666664
94,1989,MBC,95,0,0,1,34,4,57,0.37362637362637363
95,1989,MBC,96,0,1,0,34,4,58,0.3695652173913043
96,1989,MBC,97,0,0,1,35,4,58,0.3763440860215054
97,1989,MBC,98,0,0,1,36,4,58,0.3829787234042553
98,1989,MBC,99,0,0,1,37,4,58,0.3894736842105263
99,1989,MBC,100,0,0,1,38,4,58,0.3958333333333333
100,1989,MBC,101,0,1,0,38,4,59,0.3917525773195876
101,1989,MBC,102,0,0,1,39,4,59,0.3979591836734694
102,1989,MBC,103,0,1,0,39,4,60,0.3939393939393939
103,1989,MBC,104,0,1,0,39,4,61,0.39
104,1989,MBC,105,0,1,0,39,4,62,0.38613861386138615
105,1989,MBC,106,0,0,1,40,4,62,0.39215686274509803
106,1989,MBC,107,0,1,0,40,4,63,0.3883495145631068
107,1989,MBC,108,0,1,0,40,4,64,0.38461538461538464
108,1989,MBC,109,0,0,1,41,4,64,0.3904761904761905
109,1989,MBC,110,0,1,0,41,4,65,0.3867924528301887
110,1989,MBC,111,0,0,1,42,4,65,0.3925233644859813
111,1989,MBC,112,0,0,1,43,4,65,0.39814814814814814
112,1989,MBC,113,0,0,1,44,4,65,0.4036697247706422
113,1989,MBC,114,0,0,1,45,4,65,0.4090909090909091
114,1989,MBC,115,0,0,1,46,4,65,0.4144144144144144
115,1989,MBC,116,0,0,1,47,4,65,0.41964285714285715
116,1989,MBC,117,0,0,1,48,4,65,0.4247787610619469
117,1989,MBC,118,0,0,1,49,4,65,0.4298245614035088
118,1989,MBC,119,0,1,0,49,4,66,0.4260869565217391
119,1989,MBC,120,0,1,0,49,4,67,0.4224137931034483
120,1989,OB,1,0,1,0,0,0,1,0.0
121,1989,OB,2,0,1,0,0,0,2,0.0
122,1989,OB,3,0,1,0,0,0,3,0.0
123,1989,OB,4,0,1,0,0,0,4,0.0
124,1989,OB,5,0,0,1,1,0,4,0.2
125,1989,OB,6,0,1,0,1,0,5,0.16666666666666666
126,1989,OB,7,0,1,0,1,0,6,0.14285714285714285
127,1989,OB,8,0,1,0,1,0,7,0.125
128,1989,OB,9,0,1,0,1,0,8,0.1111111111111111
129,1989,OB,10,0,1,0,1,0,9,0.1
130,1989,OB,11,0,0,1,2,0,9,0.18181818181818182
131,1989,OB,12,0,0,1,3,0,9,0.25
132,1989,OB,13,0,0,1,4,0,9,0.3076923076923077
133,1989,OB,14,0,1,0,4,0,10,0.2857142857142857
134,1989,OB,15,0,0,1,5,0,10,0.3333333333333333
135,1989,OB,16,0,1,0,5,0,11,0.3125
136,1989,OB,17,0,1,0,5,0,12,0.29411764705882354
137,1989,OB,18,0,1,0,5,0,13,0.2777777777777778
138,1989,OB,19,0,0,1,6,0,13,0.3157894736842105
139,1989,OB,20,0,1,0,6,0,14,0.3
140,1989,OB,21,0,0,1,7,0,14,0.3333333333333333
141,1989,OB,22,0,1,0,7,0,15,0.3181818181818182
142,1989,OB,23,0,0,1,8,0,15,0.34782608695652173
143,1989,OB,24,0,0,1,9,0,15,0.375
144,1989,OB,25,0,1,0,9,0,16,0.36
145,1989,OB,26,0,1,0,9,0,17,0.34615384615384615
146,1989,OB,27,0,1,0,9,0,18,0.3333333333333333
147,1989,OB,28,0,0,1,10,0,18,0.35714285714285715
